DATE_DEBUT;DATE_FIN;P_SOUSCRITE;PART_FIXE_HT;PART_FIXE_TTC;PART_VARIABLE_HC_HT;PART_VARIABLE_HC_TTC;PART_VARIABLE_HP_HT;PART_VARIABLE_HP_TTC
23/07/2012;31/07/2013;6;79,2;99,54;0,0578;0,0964;0,0935;0,1391
23/07/2012;31/07/2013;9;94,44;119,73;0,0578;0,0964;0,0935;0,1391
23/07/2012;31/07/2013;12;156,72;203,92;0,0578;0,0964;0,0935;0,1391
23/07/2012;31/07/2013;15;183,72;240,11;0,0578;0,0964;0,0935;0,1391
23/07/2012;31/07/2013;18;208,68;274,14;0,0578;0,0964;0,0935;0,1391
23/07/2012;31/07/2013;24;448,32;567,25;0,0578;0,0964;0,0935;0,1391
23/07/2012;31/07/2013;30;552,36;698,38;0,0578;0,0964;0,0935;0,1391
23/07/2012;31/07/2013;36;636,24;808,24;0,0578;0,0964;0,0935;0,1391
01/08/2013;31/10/2014;6;71,64;91,5;0,061;0,1002;0,0998;0,1466
01/08/2013;31/10/2014;9;97,44;122,82;0,061;0,1002;0,0998;0,1466
01/08/2013;31/10/2014;12;156,12;203,21;0,061;0,1002;0,0998;0,1466
01/08/2013;31/10/2014;15;180;236,11;0,061;0,1002;0,0998;0,1466
01/08/2013;31/10/2014;18;201,24;266,23;0,061;0,1002;0,0998;0,1466
01/08/2013;31/10/2014;24;420,12;536,62;0,061;0,1002;0,0998;0,1466
01/08/2013;31/10/2014;30;492,36;633,98;0,061;0,1002;0,0998;0,1466
01/08/2013;31/10/2014;36;562,68;729,32;0,061;0,1002;0,0998;0,1466
01/11/2014;31/07/2015;6;73,2;92,52;0,0623;0,1057;0,1019;0,1533
01/11/2014;31/07/2015;9;99,48;123,95;0,0623;0,1057;0,1019;0,1533
01/11/2014;31/07/2015;12;159,36;200,68;0,0623;0,1057;0,1019;0,1533
01/11/2014;31/07/2015;15;183,72;232,54;0,0623;0,1057;0,1019;0,1533
01/11/2014;31/07/2015;18;205,44;261,62;0,0623;0,1057;0,1019;0,1533
01/11/2014;31/07/2015;24;428,88;549,38;0,0623;0,1057;0,1019;0,1533
01/11/2014;31/07/2015;30;502,68;649,22;0,0623;0,1057;0,1019;0,1533
01/11/2014;31/07/2015;36;574,44;746,9;0,0623;0,1057;0,1019;0,1533
01/08/2015;31/07/2016;6;75;94,42;0,0638;0,1111;0,1043;0,1597
01/08/2015;31/07/2016;9;101,88;126,48;0,0638;0,1111;0,1043;0,1597
01/08/2015;31/07/2016;12;163,2;204,73;0,0638;0,1111;0,1043;0,1597
01/08/2015;31/07/2016;15;188,16;237,23;0,0638;0,1111;0,1043;0,1597
01/08/2015;31/07/2016;18;210,36;266,81;0,0638;0,1111;0,1043;0,1597
01/08/2015;31/07/2016;24;439,08;560,14;0,0638;0,1111;0,1043;0,1597
01/08/2015;31/07/2016;30;514,68;661,88;0,0638;0,1111;0,1043;0,1597
01/08/2015;31/07/2016;36;588,12;761,33;0,0638;0,1111;0,1043;0,1597
01/08/2016;31/07/2017;6;80,64;100,37;0,0738;0,127;0,0979;0,156
01/08/2016;31/07/2017;9;93,24;117,37;0,0738;0,127;0,0979;0,156
01/08/2016;31/07/2017;12;142,32;182,7;0,0738;0,127;0,0979;0,156
01/08/2016;31/07/2017;15;163,68;211,4;0,0738;0,127;0,0979;0,156
01/08/2016;31/07/2017;18;184,08;239,08;0,0738;0,127;0,0979;0,156
